"VEMAP Grid Cell row 17, col 37 (base 0) latitude 40.25 longitude -105.75 (near Loch Vale)"					
Historic	year	month	ppt(mm)	tmin	tmax
	1948	1	79	-16.2	-3
	1948.08	2	58	-14.7	-1
	1948.17	3	95	-13.6	1
	1948.25	4	73	-5.5	9.6
	1948.33	5	43	-2.2	14.1
	1948.42	6	54	2	18.2
	1948.5	7	44	2.6	21.5
	1948.58	8	29	3.8	21.1
	1948.67	9	27	1.1	19.3
	1948.75	10	37	-5.3	9.9
	1948.83	11	78	-11.6	-1.9
	1948.92	12	79	-14.6	-1.9
	1949	1	57	-20	-5.7
	1949.08	2	36	-14.5	-0.7
	1949.17	3	100	-8.3	4.6
	1949.25	4	63	-6	9.4
	1949.33	5	83	-1.7	12.2
	1949.42	6	120	2	17.4
	1949.5	7	76	3.3	20.9
	1949.58	8	35	3.1	21.1
	1949.67	9	29	0.1	17.5
	1949.75	10	65	-5.3	8.5
	1949.83	11	26	-6.9	7.5
	1949.92	12	40	-14.4	-1.9
	1950	1	69	-14.8	-2
	1950.08	2	46	-12	2.5
	1950.17	3	55	-10.5	3
	1950.25	4	96	-6.9	8.9
	1950.33	5	75	-4.1	11
	1950.42	6	23	0.6	20.1
	1950.5	7	42	2.5	18.7
	1950.58	8	24	1.6	20.2
	1950.67	9	46	0.9	15.5
	1950.75	10	21	-3.2	15.2
	1950.83	11	99	-9.3	1
	1950.92	12	49	-11.5	0.4
	1951	1	70	-14.6	-2.8
	1951.08	2	68	-13.5	1
	1951.17	3	70	-12	2.3
	1951.25	4	90	-6.8	6.2
	1951.33	5	71	-2.4	12.7
	1951.42	6	66	-0.6	15
	1951.5	7	42	2.6	22.1
	1951.58	8	84	3.5	20
	1951.67	9	30	-1.6	17.5
	1951.75	10	75	-4.3	7.7
	1951.83	11	66	-13.7	0.1
	1951.92	12	138	-13.8	-4.2
	1952	1	44	-14.9	-2.9
	1952.08	2	45	-15.4	-1.6
	1952.17	3	106	-14.1	0.5
	1952.25	4	79	-6.9	8
	1952.33	5	72	-2.1	12.6
	1952.42	6	41	1.6	20.2
	1952.5	7	52	2.7	20.3
	1952.58	8	67	4.4	19.2
	1952.67	9	18	-0.3	18.8
	1952.75	10	12	-5.7	13
	1952.83	11	75	-14.2	-1.2
	1952.92	12	45	-15.2	-2.6
	1953	1	53	-9.8	0.8
	1953.08	2	53	-15.2	-1
	1953.17	3	76	-9.7	4.5
	1953.25	4	78	-8.5	4.9
	1953.33	5	68	-4.1	10.3
	1953.42	6	33	1.5	19.5
	1953.5	7	86	3.8	21
	1953.58	8	67	3.8	19.4
	1953.67	9	11	-0.5	18.9
	1953.75	10	31	-4.5	11.2
	1953.83	11	70	-8.7	4.5
	1953.92	12	49	-15.3	-3.1
	1954	1	36	-11.6	1.3
	1954.08	2	34	-10.1	4.4
	1954.17	3	90	-11.8	2.4
	1954.25	4	39	-4.7	11.4
