SITE,TYPE,YEAR,MONTH,DAY,DATE,TEMP,FLDCOND,LABCOND,FLDPH,LABPH,ANC,CA,MG,NA,K,NH4,NH4_NREL,SO4,NO3,NO3_NREL,PO4,CL,F,SiO2,AL,FE,MN,LAB,DOC,TDN,NH4 calc,NO3 calc,TIN,TDN calc,DON,PO4_NREL,PO4_NREL calc,TP_NREL,TP_NREL calc,DOP,TP_HSWL,CHL_A
ANDREWS.CRK,NORMAL,1991,7,16,7/16/91,8.3,8.3,,6.6,,,,,,,,,,,,,,,,,,,USGS,,,,,,,,,,,,,,
ANDREWS.CRK,NORMAL,1991,8,13,8/13/91,5.5,10,10.3,6.7,6.8,28.8,1.1,0.17,0.4,0.14,<0.01,,1.2,1.02,,<0.003,0.07,0.03,2.1,12,<10,1,USGS,0.6,,0.005,1.02,0.234124276,,,,,,,,,
ANDREWS.CRK,NORMAL,1991,9,17,9/17/91,,,11.5,6.8,6.7,34,1.3,0.19,0.4,0.14,0.01,,1.5,1.42,,<0.003,0.09,0.07,2.5,24,19,1,USGS,0.4,,0.01,1.42,0.328293699,,,,,,,,,
ANDREWS.CRK,NORMAL,1991,9,26,9/26/91,,,11.4,,6.7,35,1.2,0.18,0.49,0.13,0.01,,1.6,1.51,,,0.08,0.07,2.3,10,<10,1,USGS,,,0.01,1.51,0.348609726,,,,,,,,,
ANDREWS.CRK,NORMAL,1991,10,29,10/29/91,,11,12.6,6.7,6.6,,1.4,0.19,0.5,0.15,0.02,,1.6,1.68,,0.01,0.11,0.08,2.7,5,<10,1,USGS,0.4,,0.02,1.68,0.394736382,,,,,,,,,
ANDREWS.CRK,NORMAL,1992,6,22,6/22/92,,,9,6.5,6.3,27.4,1.03,0.16,0.39,0.14,<0.01,,1.36,1.51,,,0.08,,,,,,USFS,,,0.005,1.51,0.344733757,,,,,,,,,
ANDREWS.CRK,NORMAL,1992,7,22,7/22/92,5.6,10.4,9.3,6.7,7.6,28.4,0.94,0.12,0.3,0.13,0.01,,1.2,0.98,,<0.003,0.06,0.04,1.8,8,<10,1,USGS,0.5,,0.01,0.98,0.2289709,,,,,,,,,
ANDREWS.CRK,NORMAL,1992,8,18,8/18/92,,,8.1,,6.4,26.9,0.84,0.13,0.42,0.12,<0.01,,1.29,1.1,,,0.05,,,,,,USFS,,,0.005,1.1,0.252182967,,,,,,,,,
ANDREWS.CRK,NORMAL,1992,9,28,9/28/92,,,10.7,,6.4,33.7,1.2,0.18,0.54,0.14,<0.01,,1.75,1.48,,,0.08,,,,,,USFS,,,0.005,1.48,0.337961748,,,,,,,,,
ANDREWS.CRK,NORMAL,1993,6,22,6/22/93,3,,,6.6,6.3,28.8,1.06,0.17,0.43,0.16,,,1.33,1.43,,,0.09,,1.925,34,,,RESTON,0.93,,,1.43,,,,,,,,,,
