lake_ID,sample_number,sample_ID,sample_start_depth,depth_plot,depth_range,percC,sample,percN,CN,del13C,del15N,chlide_a,chl_c1,chl_c2,perid,fuco,sed_A,sed_B,sed_C,oscil,aphan,viola,diadino,sudan,myxo,allo,diato,lutein,zea,cantha,chl_b ,okenone,chl_a ,chl_ap,echine,isoren,phaeo_b,pheo_a,a_car,b_car,car_x,car_y,car_z
SkyPond,73,SPDC_073,14.6,14.8,14.6-14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1629.89185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SkyPond,76,SPDC_076,15.2,15.4,15.2-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1527.18335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SkyPond,79,SPDC_079,15.8,16,15.8-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1624.00281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SkyPond,84,SPDC_084,16.8,17,16.8-17,3.50,SPC 1 84,0.33,9.51,-25.7,4.7,0,0,0,0,70.29968403,0,0,0.364952643,0,0,0,0,1602.89221,0,39.8546112,334.3617374,177.1164043,0,4.555342098,0,0,212.5311949,150.5799764,20.29735299,0,196.3276365,217.7957184,0,144.7009936,0,0,0
SkyPond,89,SPDC_089,17.8,18,17.8-18,3.00,SPC 1 89,0.27,9.74,-25.9,5.9,0,0,0,0,50.3040892,0,0,1.371921116,0,0,0,0,1577.70496,0,46.51217284,298.4892453,180.5497257,0,4.91368273,0,0,209.113938,200.1006143,21.64157226,0,245.4703507,461.0224682,0,96.91600449,0,0,0
SkyPond,94,SPDC_094,18.8,19,18.8-19,2.30,SPC 1 94,0.27,9.85,-25.9,4.8,0,0,0,0,57.03680404,0,0,1.159200498,0,0,0,0,1524.57935,0,41.24581192,349.5314441,182.165721,0,2.293434986,0,0,250.6644169,172.6953097,15.62027461,0,201.736802,475.4811255,0,43.44809832,0,0,0
SkyPond,99,SPDC_099,19.8,20,19.8-20,2.19,SPC 1 99,0.19,9.16,-25.9,5.3,0,0,0,0,29.47476862,0,1.847408015,0.615802672,0,0,0,0,1536.13892,0,20.49461261,216.0403562,141.5171686,0,3.301741564,0,0,190.3334235,118.4128423,7.540896579,0,174.1122059,326.8859085,0,28.9773847,0,0,0
SkyPond,104,SPDC_0104,20.8,21,20.8-21,2.02,SPC 1 104,0.24,9.99,-25.6,4.9,0,0,0,0,46.34753098,0,0,0,0,0,0,0,1551.73499,0,53.3919833,328.3151876,148.6227695,0,3.610183625,0,0,227.8094525,172.5103263,13.67584353,0,189.7367786,540.3869762,0,65.57763058,0,0,0
SkyPond,109,SPDC_0109,21.8,22,21.8-22,2.78,SPC 1 109,0.34,9.68,-25.7,4.5,0,0,0,0,61.43467011,0,0,0,0,0,0,0,1600.87219,0,42.28841413,402.9896577,142.1273803,0,1.396781601,0,0,318.3385074,234.637667,17.57086667,0,206.1366231,516.6351102,0,45.55840741,0,0,0
SkyPond,114,SPDC_0114,22.8,23,22.8-23,3.53,SPC 1 114,0.42,9.65,-26.0,4.6,0,0,0,0,83.02763581,0,0,0,0,0,0,0,1627.31177,0,62.64419131,604.5512694,130.2178352,0,3.144284629,0,0,392.6437619,248.3771401,18.24181356,0,200.7265137,523.882451,0,77.519715,0,0,0
SkyPond,119,SPDC_0119,23.8,24,23.8-24,3.40,SPC 1 119,0.40,9.99,-25.9,4.3,0,0,0,0,87.95080908,0,0,0,0,0,0,0,1593.37329,0,64.34271928,574.6660794,116.5684406,0,1.815642376,0,0,355.3292441,228.1690961,15.66634417,0,130.5909093,416.0429223,0,46.87922737,0,0,0
